Generating SQLite file cupy_100_steps.sqlite from cupy_100_steps.nsys-rep
Processing [cupy_100_steps.sqlite] with [/opt/nvidia/nsight-systems-cli/2026.2.1/target-linux-x64/reports/cuda_kern_exec_sum.py]... 
PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
19000,19000,0,200,200,1965921847.5,1888454334.5,1372831532,2470806283,502636630.4,6343.0,5084.5,3913,249471,17292.5,132773009.1,102434923.0,8643147,167239175,35595000.0,1833142495.4,1831724719.5,1362409408,2303948721,469800049.8,cudaLaunchCooperativeKernel,"void cusparse::find_colors_kernel<int, (int)256, (int)4, (bool)0>(T1, const T1 *, const T1 *, T1 *, T1 *, unsigned int *, unsigned int *, unsigned int *, unsigned int *, unsigned int *, unsigned int *, int, cusparseFillMode_t)"
19000,19000,0,200,200,132776066.5,102436098.5,8902345,167239031,35589970.1,2761.5,2627.0,2085,11183,955.7,125053312.9,93710364.5,73371,160291721,36311350.8,7719992.1,7681180.5,6886798,8894091,787253.7,cudaLaunchKernel,"void cusparse::do_triangular_pattern_kernel<int, (int)128, (int)4>(T1, const T1 *, const T1 *, T1 *, T1 *, int, cusparseFillMode_t)"
19000,19000,0,200,199,125076644.4,93699243.5,4131130,160276522,36190815.2,15004.4,3070.0,2362,2382893,168277.4,121226116.7,88952984.0,979,156123777,35570981.7,4441659.3,4439141.5,4125997,4772890,296008.2,cudaLaunchKernel,"void cusparse::number_of_deps_kernel<int, (int)128, (bool)0, (int)4>(T1, const T1 *, const T1 *, unsigned int *, T1 *, int, cusparseFillMode_t)"
19000,19000,0,200,200,125058650.0,93715447.0,89840,160296749,36310950.1,2349.8,2299.0,1875,7981,557.2,125046085.7,93702889.5,70819,160284223,36311181.2,10214.5,10208.0,10144,11040,68.7,cudaLaunchKernel,"void cusparse::streamcpy_kernel<int, (int)128>(T1, T1 *, T1 *, T1)"
19000,19000,0,200,200,122076035.4,115809738.5,88501390,156076763,33618580.2,2932.3,2732.0,2293,25424,1705.1,12820696.7,12392544.5,633158,13442146,1007081.5,109252406.4,109260355.0,76129583,142696117,33155283.0,cudaLaunchKernel,"void cusparse::spsm_v1_kernel<int, double, (int)8, (int)16, (int)8, (int)16, (int)2>(T1, T1, long, long, long, int, T2 *, const T2 *, const T1 *, const T1 *, const T2 *, const T2 *, unsigned int *, unsigned int *, unsigned int *, cusparse::KernelCoeffs<T2>, int, unsigned int, unsigned int)"
19000,19000,0,100,100,87102467.8,88868770.5,44611,89022855,12466138.5,4016.4,3774.5,2907,16688,1904.2,87054683.0,88822200.0,169,88975010,12465897.3,43768.5,43952.5,38976,46049,1178.0,cuLaunchKernel,cupy_add__float64_float64_float64
19000,19000,0,100,100,87077798.3,88842880.0,86197,88996968,12461465.5,4498.2,4055.0,2877,29531,2809.4,87000957.8,88766714.5,119,88920543,12462105.8,72342.3,72257.0,72160,79137,688.2,cuLaunchKernel,cupy_true_divide__float64_float_float64
19000,19000,0,100,100,87069440.0,88832927.5,473447,88987803,12432800.7,3914.3,3428.0,2723,18266,1972.0,86605502.6,88367945.0,1416,88525307,12433565.5,460023.2,459286.0,453126,480646,4066.1,cudaLaunchKernel,"void cusparse::csrmv_v3_kernel<std::integral_constant<bool, (bool)0>, int, int, double, double, double, double, void>(cusparse::KernelCoeffs<T7>, const T3 *, const T2 *, const T3 *, const T4 *, T2, int, int, const T5 *, T6 *, T3 *, T7 *)"
19000,19000,0,100,99,86627034.4,88375935.0,26072,88532985,12336124.9,17627.8,3779.5,2632,1383064,137925.1,87473207.4,88362146.0,10736,88518069,8880105.1,10935.8,10944.0,10656,11648,199.2,cudaLaunchKernel,"void cusparse::vector_scalar_multiply_kernel<(int)256, cusparse::AlignedVectorScalarMultiplyPolicy, int, double, double>(cusparse::KernelCoeff<T5>, T3, T4 *)"
19000,19000,0,100,100,86610208.0,88372154.0,24108,88528575,12425029.1,7180.1,6005.5,4912,110209,10442.3,86585621.0,88348950.5,158,88504278,12431732.6,17406.9,17440.5,8449,19936,1469.8,cudaLaunchKernel,"void cusparse::<unnamed>::csr_partition_kernel<int, int>(const T1 *, T2, T1, T1, T2, T2 *, T2)"
19000,19000,0,206,203,85632158.9,88687909.0,43653,88994550,15329455.4,4640.9,4333.5,2179,11643,1340.8,86796302.6,88653192.0,1040,88944612,11655824.4,95250.6,43840.5,30368,3379426,344176.4,cuLaunchKernel,cupy_take
19000,19000,0,106,105,82234488.9,88831055.0,18282,88985779,23225749.2,4628.8,4433.0,2585,15582,1337.1,82939095.7,88815175.0,36,88969664,22120687.1,73223.7,11520.0,11456,2184278,283430.0,cuLaunchKernel,cupy_copy__float64_float64
19000,19000,0,8,8,73613860.4,73606350.5,73484673,73748189,96788.4,4232.3,1666.5,1588,22068,7207.4,73567059.8,73566208.5,73413997,73718409,104743.5,42568.4,46672.0,28192,48833,9001.4,cudaLaunchKernel,"void cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::radix_sort::DeviceRadixSortOnesweepKernel<cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::radix::policy_hub<int, unsigned long, unsigned long long>::Policy1000, (cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::SortOrder)0, int, unsigned long, unsigned long long, int, int, cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
