Time,Min temperature,Max temperature
50.0,124.012488,407.202033
100.0,172.917125,526.205407
150.0,236.49028,603.71673
200.0,305.543946,663.094377
250.0,374.518197,712.427975
300.0,440.610302,755.284952
350.0,502.612204,793.443232
400.0,560.140316,827.877383
450.0,613.210242,859.176963
500.0,662.018658,887.738029
550.0,706.835511,913.854225
600.0,747.952111,937.761173
650.0,785.656879,959.658579
700.0,820.224615,979.721599
750.0,851.912275,998.106938
800.0,880.95785,1014.956361
850.0,907.580674,1030.398899
900.0,931.98237,1044.552371
950.0,954.348017,1057.524554
1000.0,974.847392,1069.414122
1050.0,993.636167,1080.311469
1100.0,1010.857062,1090.299417
1150.0,1026.640899,1099.453867
1200.0,1041.107593,1107.844379
1250.0,1054.367054,1115.534706
1300.0,1066.520024,1122.583279
1350.0,1077.658837,1129.043653
1400.0,1087.868124,1134.964913
1450.0,1097.225454,1140.392047
1500.0,1105.80192,1145.366291
1550.0,1113.662687,1149.925437
1600.0,1120.867477,1154.104126
1650.0,1127.471033,1157.934105
1700.0,1133.523526,1161.444476
1750.0,1139.070943,1164.661908
1800.0,1144.155432,1167.610848
1850.0,1148.815624,1170.313701
1900.0,1153.086925,1172.791003
1950.0,1157.00179,1175.061575
2000.0,1160.589962,1177.14267
2050.0,1163.878703,1179.050099
2100.0,1166.893001,1180.798354
2150.0,1169.655757,1182.400719
2200.0,1172.187964,1183.869367
2250.0,1174.50886,1185.215457
2300.0,1176.636078,1186.449217
2350.0,1178.585782,1187.580021
2400.0,1180.372784,1188.61646
2450.0,1182.010662,1189.566409
2500.0,1183.51186,1190.437085
2550.0,1184.887784,1191.235104
2600.0,1186.148888,1191.966528
2650.0,1187.304754,1192.636916
2700.0,1188.364164,1193.251361
2750.0,1189.335167,1193.81453
2800.0,1190.22514,1194.330703
2850.0,1191.040845,1194.803802
2900.0,1191.788481,1195.237421
2950.0,1192.473727,1195.634855
3000.0,1193.101789,1195.999124
3050.0,1193.67744,1196.332994
3100.0,1194.205053,1196.639003
3150.0,1194.688638,1196.919476
3200.0,1195.131867,1197.176544
3250.0,1195.53811,1197.412159
3300.0,1195.910452,1197.628113
3350.0,1196.251722,1197.826045
3400.0,1196.564513,1198.00746
3450.0,1196.851202,1198.173737
3500.0,1197.113967,1198.326137
3550.0,1197.354805,1198.46582
3600.0,1197.575544,1198.593846
3650.0,1197.777864,1198.711189
3700.0,1197.963299,1198.818739
3750.0,1198.133261,1198.917315
3800.0,1198.289039,1199.007664
3850.0,1198.431817,1199.090474
3900.0,1198.562681,1199.166373
3950.0,1198.682624,1199.235939
4000.0,1198.792559,1199.299699
4050.0,1198.893319,1199.358139
4100.0,1198.985671,1199.411702
4150.0,1199.070316,1199.460795
4200.0,1199.147897,1199.505791
4250.0,1199.219005,1199.547032
4300.0,1199.284178,1199.584832
4350.0,1199.343913,1199.619478
4400.0,1199.398663,1199.651232
4450.0,1199.448844,1199.680337
4500.0,1199.494838,1199.707012
4550.0,1199.536993,1199.731462
4600.0,1199.575631,1199.753871
4650.0,1199.611044,1199.77441
4700.0,1199.643502,1199.793236
4750.0,1199.673252,1199.81049
4800.0,1199.700519,1199.826305
4850.0,1199.72551,1199.840799
4900.0,1199.748416,1199.854085
4950.0,1199.769411,1199.866261
5000.0,1199.788653,1199.877422
5050.0,1199.80629,1199.887651
5100.0,1199.822455,1199.897026
5150.0,1199.837271,1199.905619
5200.0,1199.850851,1199.913495
5250.0,1199.863297,1199.920714
5300.0,1199.874705,1199.92733
5350.0,1199.885161,1199.933395
5400.0,1199.894744,1199.938953
5450.0,1199.903527,1199.944047
5500.0,1199.911578,1199.948716
5550.0,1199.918957,1199.952996
5600.0,1199.92572,1199.956918
5650.0,1199.931918,1199.960514
5700.0,1199.9376,1199.963809
5750.0,1199.942807,1199.966829
5800.0,1199.94758,1199.969597
5850.0,1199.951954,1199.972134
5900.0,1199.955964,1199.974459
5950.0,1199.959638,1199.976591
6000.0,1199.963007,1199.978544
6050.0,1199.966094,1199.980335
6100.0,1199.968923,1199.981976
6150.0,1199.971516,1199.98348
6200.0,1199.973893,1199.984859
6250.0,1199.976072,1199.986122
6300.0,1199.978069,1199.98728
6350.0,1199.979899,1199.988342
6400.0,1199.981576,1199.989315
6450.0,1199.983114,1199.990206
6500.0,1199.984523,1199.991024
6550.0,1199.985815,1199.991773
6600.0,1199.986998,1199.992459
6650.0,1199.988083,1199.993088
6700.0,1199.989078,1199.993665
6750.0,1199.989989,1199.994194
6800.0,1199.990825,1199.994678
6850.0,1199.99159,1199.995122
6900.0,1199.992292,1199.995529
6950.0,1199.992935,1199.995903
7000.0,1199.993525,1199.996244
7050.0,1199.994065,1199.996558
7100.0,1199.99456,1199.996845
7150.0,1199.995014,1199.997108
7200.0,1199.99543,1199.99735
7250.0,1199.995812,1199.997571
7300.0,1199.996161,1199.997774
7350.0,1199.996482,1199.997959
7400.0,1199.996775,1199.99813
7450.0,1199.997044,1199.998286
7500.0,1199.997291,1199.998429
7550.0,1199.997517,1199.99856
7600.0,1199.997724,1199.99868
7650.0,1199.997914,1199.99879
7700.0,1199.998088,1199.998891
7750.0,1199.998248,1199.998984
7800.0,1199.998394,1199.999069
7850.0,1199.998528,1199.999146
7900.0,1199.998651,1199.999218
7950.0,1199.998763,1199.999283
8000.0,1199.998867,1199.999343
8050.0,1199.998961,1199.999398
8100.0,1199.999048,1199.999448
8150.0,1199.999127,1199.999494
8200.0,1199.9992,1199.999536
8250.0,1199.999267,1199.999575
8300.0,1199.999328,1199.99961
8350.0,1199.999384,1199.999643
