Time,Min temperature,Max temperature
50.0,124.024767,415.212786
100.0,172.957413,533.518844
150.0,236.568705,610.367318
200.0,305.663453,669.176045
250.0,374.676695,718.010374
300.0,440.803122,760.419806
350.0,502.833771,798.171521
400.0,560.385049,832.233568
450.0,613.472969,863.191247
500.0,662.294764,891.43755
550.0,707.120969,917.263706
600.0,748.243446,940.903289
650.0,785.951124,962.554203
700.0,820.519254,982.389971
750.0,852.205191,1000.565802
800.0,881.247276,1017.222089
850.0,907.865152,1032.486589
900.0,932.260708,1046.475953
950.0,954.619258,1059.296873
1000.0,975.11078,1071.047026
1050.0,993.891125,1081.815881
1100.0,1011.10316,1091.685409
1150.0,1026.87784,1100.730726
1200.0,1041.335191,1109.020666
1250.0,1054.585217,1116.618314
1300.0,1066.728742,1123.581485
1350.0,1077.858166,1129.963163
1400.0,1088.058178,1135.811909
1450.0,1097.406391,1141.172229
1500.0,1105.973939,1146.084911
1550.0,1113.826015,1150.587337
1600.0,1121.022367,1154.713767
1650.0,1127.617756,1158.495601
1700.0,1133.662366,1161.961616
1750.0,1139.202193,1165.138185
1800.0,1144.279392,1168.04948
1850.0,1148.932596,1170.717654
1900.0,1153.197213,1173.16301
1950.0,1157.105693,1175.404156
2000.0,1160.687778,1177.458144
2050.0,1163.970725,1179.340605
2100.0,1166.979514,1181.065862
2150.0,1169.737041,1182.647044
2200.0,1172.264288,1184.096182
2250.0,1174.580485,1185.424303
2300.0,1176.703258,1186.641513
2350.0,1178.648759,1187.757074
2400.0,1180.431792,1188.779476
2450.0,1182.065924,1189.716497
2500.0,1183.563591,1190.575268
2550.0,1184.936189,1191.362323
2600.0,1186.194161,1192.083652
2650.0,1187.347081,1192.744743
2700.0,1188.403721,1193.350626
2750.0,1189.372121,1193.905912
2800.0,1190.259651,1194.414827
2850.0,1191.073063,1194.881243
2900.0,1191.818548,1195.308708
2950.0,1192.501777,1195.700476
3000.0,1193.127951,1196.059527
3050.0,1193.701832,1196.388594
3100.0,1194.22779,1196.690181
3150.0,1194.709824,1196.966583
3200.0,1195.151605,1197.219902
3250.0,1195.556492,1197.452067
3300.0,1195.927568,1197.664844
3350.0,1196.267655,1197.859852
3400.0,1196.579341,1198.038574
3450.0,1196.864999,1198.202372
3500.0,1197.126802,1198.352491
3550.0,1197.366741,1198.490074
3600.0,1197.586643,1198.616167
3650.0,1197.788182,1198.731731
3700.0,1197.97289,1198.837643
3750.0,1198.142173,1198.934711
3800.0,1198.297319,1199.023673
3850.0,1198.439509,1199.105206
3900.0,1198.569825,1199.17993
3950.0,1198.689259,1199.248413
4000.0,1198.798718,1199.311178
4050.0,1198.899037,1199.368701
4100.0,1198.990978,1199.421421
4150.0,1199.075241,1199.469738
4200.0,1199.152467,1199.51402
4250.0,1199.223244,1199.554604
4300.0,1199.288111,1199.591798
4350.0,1199.34756,1199.625887
4400.0,1199.402045,1199.657129
4450.0,1199.45198,1199.685762
4500.0,1199.497745,1199.712004
4550.0,1199.539688,1199.736054
4600.0,1199.578129,1199.758096
4650.0,1199.613359,1199.778298
4700.0,1199.645647,1199.796812
4750.0,1199.675239,1199.81378
4800.0,1199.70236,1199.829331
4850.0,1199.727215,1199.843584
4900.0,1199.749996,1199.856646
4950.0,1199.770873,1199.868617
5000.0,1199.790008,1199.879589
5050.0,1199.807544,1199.889645
5100.0,1199.823616,1199.89886
5150.0,1199.838346,1199.907306
5200.0,1199.851845,1199.915047
5250.0,1199.864218,1199.922142
5300.0,1199.875557,1199.928644
5350.0,1199.885949,1199.934602
5400.0,1199.895473,1199.940064
5450.0,1199.904202,1199.945069
5500.0,1199.912202,1199.949656
5550.0,1199.919534,1199.953861
5600.0,1199.926254,1199.957714
5650.0,1199.932412,1199.961245
5700.0,1199.938057,1199.964481
5750.0,1199.94323,1199.967447
5800.0,1199.94797,1199.970166
5850.0,1199.952315,1199.972657
5900.0,1199.956298,1199.974941
5950.0,1199.959947,1199.977033
6000.0,1199.963292,1199.978951
6050.0,1199.966357,1199.980709
6100.0,1199.969167,1199.98232
6150.0,1199.971742,1199.983797
6200.0,1199.974102,1199.98515
6250.0,1199.976264,1199.98639
6300.0,1199.978246,1199.987526
6350.0,1199.980063,1199.988568
6400.0,1199.981728,1199.989523
6450.0,1199.983254,1199.990398
6500.0,1199.984652,1199.9912
6550.0,1199.985934,1199.991935
6600.0,1199.987109,1199.992608
6650.0,1199.988185,1199.993225
6700.0,1199.989172,1199.993791
6750.0,1199.990076,1199.99431
6800.0,1199.990905,1199.994785
6850.0,1199.991664,1199.99522
6900.0,1199.992361,1199.995619
6950.0,1199.992998,1199.995985
7000.0,1199.993583,1199.996321
7050.0,1199.994119,1199.996628
7100.0,1199.99461,1199.996909
7150.0,1199.99506,1199.997168
7200.0,1199.995473,1199.997404
7250.0,1199.995851,1199.997621
7300.0,1199.996197,1199.99782
7350.0,1199.996515,1199.998002
