Elements;Nodes;_send_to_GPU;_calculate;_retrieve_from_GPU;calculate_and_assemble_matrices;_prepare_data;_factorize;solve
100;121;0,005107331275939942;0,005253028869628906;0,0012941598892211915;0,013155460357666016;0,01323392391204834;0,02024695873260498;0,0050177621841430665
2500;2601;0,006199789047241211;0,005959558486938477;0,0021975040435791016;0,015912652015686035;0,016169142723083497;0,03490986824035645;0,014702460765838622
10000;10201;0,013061022758483887;0,006733345985412598;0,007989215850830077;0,030664467811584474;0,025228047370910646;0,09215469360351562;0,03973645448684692
40000;40401;0,024747610092163086;0,011094093322753906;0,024643445014953615;0,06358232498168945;0,05717287063598633;0,43764028549194334;0,15231376647949219
90000;90601;0,042597723007202146;0,013663053512573242;0,04406888484954834;0,10410645008087158;0,11023743152618408;1,1063485145568848;0,26037585735321045
160000;160801;0,07251992225646972;0,022952723503112792;0,0756765604019165;0,17457456588745118;0,18699960708618163;2,58160240650177;0,5731279850006104
250000;251001;0,10541632175445556;0,035514235496520996;0,11769132614135742;0,2623449802398682;0,28616745471954347;4,2992218971252445;0,7268968486785888
360000;361201;0,14681720733642578;0,050863337516784665;0,1701427459716797;0,37277789115905763;0,42240951061248777;7,192160129547119;1,0458938598632812
490000;491401;0,1948878526687622;0,06932101249694825;0,22869179248809815;0,49885263442993166;0,5526708841323853;10,111077642440796;1,5055334711074828
640000;641601;0,2491469383239746;0,09195461273193359;0,29949376583099363;0,6498355150222779;0,6989714145660401;15,92101318836212;2,056467981338501
810000;811801;0,3092252969741821;0,11499342918395997;0,38118011951446534;0,8138434171676636;0,8671270847320557;22,31201317310333;2,537277488708496
1000000;1002001;0,3808860778808594;0,14222335815429688;0,46945388317108155;1,0036962032318115;1,0895946979522706;31,836008477211;3,086080949306488
