==PROF== Connected to process 450 (/usr/bin/python3.12)
Info    : Reading 'input/1000x1000_quad.msh'...
Info    : 9 entities
Info    : 1002001 nodes
Info    : 1004000 elements
Info    : Done reading 'input/1000x1000_quad.msh'
==PROF== Disconnected from process 450
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","450","python3.12","127.0.0.1","void cudss::copy_csr_columns_ker<int, int, 128>(long, const T2 *, const T2 *, T1 *, int)","1","7","(128, 1, 1)","(70360, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_dadd_pred_on.sum","inst","0"
"0","450","python3.12","127.0.0.1","void cudss::copy_csr_columns_ker<int, int, 128>(long, const T2 *, const T2 *, T1 *, int)","1","7","(128, 1, 1)","(70360, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_dfma_pred_on.sum","inst","0"
"0","450","python3.12","127.0.0.1","void cudss::copy_csr_columns_ker<int, int, 128>(long, const T2 *, const T2 *, T1 *, int)","1","7","(128, 1, 1)","(70360, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_dmul_pred_on.sum","inst","0"
"1","450","python3.12","127.0.0.1","void cudss::radix_sort_ker<int, int, double, 1, 20, 4, 0>(T2, const T1 *, T2 *, T2 *, T3 *, T3 *, T2, T2)","1","7","(1, 1, 1)","(1002001, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_dadd_pred_on.sum","inst","0"
"1","450","python3.12","127.0.0.1","void cudss::radix_sort_ker<int, int, double, 1, 20, 4, 0>(T2, const T1 *, T2 *, T2 *, T3 *, T3 *, T2, T2)","1","7","(1, 1, 1)","(1002001, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_dfma_pred_on.sum","inst","0"
"1","450","python3.12","127.0.0.1","void cudss::radix_sort_ker<int, int, double, 1, 20, 4, 0>(T2, const T1 *, T2 *, T2 *, T3 *, T3 *, T2, T2)","1","7","(1, 1, 1)","(1002001, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_dmul_pred_on.sum","inst","0"
"2","450","python3.12","127.0.0.1","void cudss::trans_nnz_per_row_ker<int, int, long, int, 128>(T4, const T1 *, const T2 *, T3 *, T4, T4, int)","1","7","(128, 1, 1)","(7829, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_dadd_pred_on.sum","inst","0"
"2","450","python3.12","127.0.0.1","void cudss::trans_nnz_per_row_ker<int, int, long, int, 128>(T4, const T1 *, const T2 *, T3 *, T4, T4, int)","1","7","(128, 1, 1)","(7829, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_dfma_pred_on.sum","inst","0"
"2","450","python3.12","127.0.0.1","void cudss::trans_nnz_per_row_ker<int, int, long, int, 128>(T4, const T1 *, const T2 *, T3 *, T4, T4, int)","1","7","(128, 1, 1)","(7829, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_dmul_pred_on.sum","inst","0"
"3","450","python3.12","127.0.0.1","void offsets_par_ker<long, int, int, 128, 1>(T1, T1 *, T2 *, T3 *, int *, int)","1","7","(128, 1, 1)","(64, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_dadd_pred_on.sum","inst","0"
"3","450","python3.12","127.0.0.1","void offsets_par_ker<long, int, int, 128, 1>(T1, T1 *, T2 *, T3 *, int *, int)","1","7","(128, 1, 1)","(64, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_dfma_pred_on.sum","inst","0"
"3","450","python3.12","127.0.0.1","void offsets_par_ker<long, int, int, 128, 1>(T1, T1 *, T2 *, T3 *, int *, int)","1","7","(128, 1, 1)","(64, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_dmul_pred_on.sum","inst","0"
"4","450","python3.12","127.0.0.1","void cudss::trans_columns_ker<int, int, long, int, 128>(T4, const T1 *, const T2 *, T3 *, T4 *, T4, T4, int)","1","7","(128, 1, 1)","(7829, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_dadd_pred_on.sum","inst","0"
"4","450","python3.12","127.0.0.1","void cudss::trans_columns_ker<int, int, long, int, 128>(T4, const T1 *, const T2 *, T3 *, T4 *, T4, T4, int)","1","7","(128, 1, 1)","(7829, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_dfma_pred_on.sum","inst","0"
"4","450","python3.12","127.0.0.1","void cudss::trans_columns_ker<int, int, long, int, 128>(T4, const T1 *, const T2 *, T3 *, T4 *, T4, T4, int)","1","7","(128, 1, 1)","(7829, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_dmul_pred_on.sum","inst","0"
"5","450","python3.12","127.0.0.1","void cudss::radix_sort_ker<long, int, double, 1, 20, 4, 0>(T2, const T1 *, T2 *, T2 *, T3 *, T3 *, T2, T2)","1","7","(1, 1, 1)","(1002001, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_dadd_pred_on.sum","inst","0"
"5","450","python3.12","127.0.0.1","void cudss::radix_sort_ker<long, int, double, 1, 20, 4, 0>(T2, const T1 *, T2 *, T2 *, T3 *, T3 *, T2, T2)","1","7","(1, 1, 1)","(1002001, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_dfma_pred_on.sum","inst","0"
"5","450","python3.12","127.0.0.1","void cudss::radix_sort_ker<long, int, double, 1, 20, 4, 0>(T2, const T1 *, T2 *, T2 *, T3 *, T3 *, T2, T2)","1","7","(1, 1, 1)","(1002001, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_dmul_pred_on.sum","inst","0"
"6","450","python3.12","127.0.0.1","void cudss::xadj_ker<int, int, long, int, 128>(T4, const T1 *, const T2 *, const T3 *, const T4 *, T3 *, T4, T4, int)","1","7","(128, 1, 1)","(7829, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_dadd_pred_on.sum","inst","0"
"6","450","python3.12","127.0.0.1","void cudss::xadj_ker<int, int, long, int, 128>(T4, const T1 *, const T2 *, const T3 *, const T4 *, T3 *, T4, T4, int)","1","7","(128, 1, 1)","(7829, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_dfma_pred_on.sum","inst","0"
"6","450","python3.12","127.0.0.1","void cudss::xadj_ker<int, int, long, int, 128>(T4, const T1 *, const T2 *, const T3 *, const T4 *, T3 *, T4, T4, int)","1","7","(128, 1, 1)","(7829, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_dmul_pred_on.sum","inst","0"
"7","450","python3.12","127.0.0.1","void offsets_par_ker<long, long, long, 128, 1>(T1, T1 *, T2 *, T3 *, int *, int)","1","7","(128, 1, 1)","(64, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_dadd_pred_on.sum","inst","0"
"7","450","python3.12","127.0.0.1","void offsets_par_ker<long, long, long, 128, 1>(T1, T1 *, T2 *, T3 *, int *, int)","1","7","(128, 1, 1)","(64, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_dfma_pred_on.sum","inst","0"
"7","450","python3.12","127.0.0.1","void offsets_par_ker<long, long, long, 128, 1>(T1, T1 *, T2 *, T3 *, int *, int)","1","7","(128, 1, 1)","(64, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_dmul_pred_on.sum","inst","0"
